登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3708,2026-06-21,15.6,42.1,26.3,15.8,0.15,3.1,18.0,4.5,31.8,13.6,0.14,2.4,15.6,10.5,26.3,26.3,0.17,3.1,21.3,7.7,15.4,23.1,0.14,2.9,18.9,4.3,13.0,0.0,0.16,3.3,10.7,15.4,0.0,0.0,0.15,3.7
3711,2026-06-21,22.1,56.2,21.9,9.4,0.15,2.9,19.3,10.7,42.9,14.3,0.15,3.1,22.1,9.4,21.9,28.1,0.14,3.1,13.8,10.0,25.0,25.0,0.14,3.4,13.8,15.0,20.0,20.0,0.15,3.6,9.0,7.7,23.1,0.0,0.17,3.9
3712,2026-06-21,15.1,72.2,16.7,11.1,0.13,2.4,16.8,5.0,45.0,15.0,0.15,3.2,21.0,4.0,40.0,20.0,0.12,2.4,18.5,4.5,13.6,27.3,0.15,3.5,17.6,4.8,9.5,9.5,0.14,3.0,10.9,7.7,38.5,0.0,0.19,4.2
2878,2026-06-20,18.3,47.6,19.0,14.3,0.17,3.7,16.5,26.3,15.8,31.6,0.14,3.7,24.3,3.6,21.4,17.9,0.18,3.8,20.0,4.3,34.8,30.4,0.16,3.0,13.0,0.0,0.0,0.0,0.18,4.1,7.8,11.1,11.1,0.0,0.17,4.1
3072,2026-06-20,26.6,31.0,34.5,0.0,0.12,2.3,67.9,2.7,10.8,14.9,0.16,3.3,5.5,16.7,0.0,0.0,0.21,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3212,2026-06-20,16.7,21.4,21.4,21.4,0.16,3.3,27.4,4.3,17.4,0.0,0.18,3.6,16.7,7.1,21.4,21.4,0.14,3.1,23.8,10.0,5.0,15.0,0.16,3.4,9.5,12.5,12.5,37.5,0.18,4.0,6.0,20.0,0.0,0.0,0.19,4.2
3224,2026-06-20,12.5,35.7,14.3,21.4,0.16,4.1,17.0,5.3,5.3,10.5,0.22,4.5,18.8,4.8,14.3,38.1,0.19,3.6,19.6,18.2,13.6,0.0,0.18,3.6,22.3,8.0,20.0,0.0,0.18,3.8,9.8,0.0,0.0,0.0,0.23,5.4
3226,2026-06-20,16.7,35.0,30.0,15.0,0.19,3.3,21.7,19.2,15.4,0.0,0.16,3.0,14.2,5.9,17.6,23.5,0.19,4.1,19.2,4.3,8.7,17.4,0.19,3.4,16.7,5.0,20.0,0.0,0.18,3.5,11.7,7.1,14.3,0.0,0.18,4.1
3257,2026-06-20,22.4,57.9,26.3,5.3,0.12,2.5,62.4,24.5,22.6,9.4,0.13,2.2,15.3,7.7,46.2,7.7,0.15,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3268,2026-06-20,14.8,46.2,38.5,7.7,0.15,2.3,21.6,10.5,21.1,15.8,0.15,4.0,19.3,5.9,23.5,0.0,0.17,3.6,29.5,15.4,7.7,0.0,0.18,3.8,13.6,8.3,16.7,0.0,0.19,4.5,1.1,0.0,0.0,0.0,0.27,6.0
